Pentad,minT,ap_rat
2255_2755,4.800000000000001,0.2098732441663742
2225_2850,5.2,0.17518898844718933
2220_2855,5,0.17882652580738068
2240_2810,5.1000000000000005,0.1781371384859085
2235_2815,5.1000000000000005,0.16908368468284607
2210_2900,4.9,0.18125417828559875
2210_2905,4.800000000000001,0.1830326616764069
2210_2910,4.800000000000001,0.18437902629375455
2210_2920,5.5,0.18970614671707153
2210_2915,5.099999999999996,0.18402524292469025
2210_2925,5.800000000000003,0.188557431101799
2210_2940,6.700000000000015,0.19120939075946808
2210_2955,7.800000000000006,0.18849219381809235
2220_2930,6.200000000000008,0.21559375524520877
2255_2900,5,0.2421999424695969
2255_2950,4.7,0.4814240634441376
2255_2955,5.400000000000002,0.5267617702484131
2220_3020,10.2,0.248145192861557
2235_3010,10,0.30701959133148193
2255_3000,5.5,0.5721559524536133
2250_3000,8.199999999999996,0.3981213867664337
2255_3025,10.39999999999998,0.479579359292984
2255_3015,7.399999999999999,0.6052746176719666
2235_3030,10.2,0.39325672388076777
2240_3045,10.300000000000004,0.4350152313709259
2255_3030,10.599999999999998,0.4207040071487427
2220_3105,10.1,0.24283821880817413
2225_3110,9.899999999999991,0.2494688630104064
2220_3110,10,0.2365113794803619
2220_3100,10.2,0.2422261089086533
2225_3115,9.8,0.2435060143470764
2235_3105,10.29999999999999,0.28388285636901855
2240_3110,10,0.279832750558853
2235_3100,10.700000000000014,0.29738494753837585
2240_3105,10.29999999999999,0.29693618416786194
2240_3115,9.800000000000002,0.28332629799842834
2240_3120,9.7,0.30709993839263916
2230_3115,9.799999999999994,0.27909207344055176
2235_3120,9.8,0.3073289394378662
2235_3115,9.9,0.2895413935184479
2250_3125,9.1,0.2682811915874481
2255_3125,8.8,0.254293292760849
2255_3120,8.899999999999995,0.2490900456905365
2250_3115,9.299999999999995,0.26459842920303345
2255_3115,9.000000000000002,0.2551800310611725
2325_2715,3.1,0.21694286167621613
2315_2735,3.2,0.2132656127214432
2330_2710,2.9000000000000004,0.21688242256641388
2340_2735,4.100000000000009,0.2359958440065384
2340_2740,4.3,0.23010307550430295
2335_2730,3.8000000000000016,0.22197414934635168
2340_2745,4.199999999999999,0.2223626524209976
2340_2750,4,0.2372904270887375
2345_2740,4,0.2411704957485199
2350_2740,3.400000000000003,0.24517293274402616
2345_2745,3.7999999999999985,0.24241621792316437
2340_2810,4.199999999999997,0.2466191202402115
2340_2815,3.9000000000000026,0.258121520280838
2335_2820,4.100000000000004,0.2651752829551697
2345_2800,3.0000000000000004,0.26777356863021856
2340_2830,3.9000000000000026,0.2705385684967041
2350_2840,4.500000000000002,0.25205811858177185
2300_2905,4.899999999999987,0.2463872730731964
2300_2900,4.5,0.2959414422512054
2300_2925,3.899999999999999,0.38915902376174927
2300_2940,5.699999999999993,0.3070911765098572
